,index,CASE,A501x01,A501x02,A501x03,A501x04,A501x05,A501x06,A501x07,A501x08,A501x09,A501x10,translated_words,DAT
102,119.0,891,Regen,Nudelsieb,Anwendungskontext,Silbentrennung,Affenbrotbaum,Audiothek,Staubsauger,Bräunungsstreifen,Hochzeit,Erbschaft,"['Rain', 'strainer', 'Application context', 'Hyphenation', 'Baobab', 'Audio library', 'Vacuum', 'Tan lines', 'Wedding', 'heritage']",91.144455
103,120.0,892,Autobahn,Kreativität,Universum,Anis,Haifisch,Vertrag,Nachhaltigkeit,Teppich,Haar,Pistole,"['Highway', 'creativity', 'universe', 'anise', 'shark', 'Contract', 'sustainability', 'Carpet', 'hair', 'gun']",89.18216
104,121.0,893,Kühlschrank,Liebe,Rhythmus,Angepasstheit,Gehör,Webseite,Borstenschwein,Nagel,Rand,Art,"['Refrigerator', 'Love', 'rhythm', 'Adaptability', 'Hearing', 'website', 'Bristle pig', 'nail', 'edge', 'Type']",85.77637
105,122.0,894,Gesetz,Fußball,Geschlechtsteil ,Marmelade,Schlüssel,Hochhaus,Glück,Kaffee,Schatten,Sieg,"['Law', 'football', 'genitals', 'jam', 'Key', 'skyscraper', 'Luck', 'Coffee', 'Shadow', 'victory']",87.24603
106,123.0,895,Verordnung,Sekretariat,Verbrennungsmotor,Reinigungsanlage,Achtsamkeit,Supernova,Arbeitslosigkeit,Telefonie,Industrialisierung,Moderator,"['regulation', 'office', 'Combustion engine', 'Cleaning system', 'Mindfulness', 'Supernova', 'unemployment', 'Telephony', 'industrialization', 'Host']",89.67027
107,124.0,896,Baum,Kirche,Handball,Smartphone,Glas ,Nuss,Kerze,Himmel,Bild,Heizung,"['Tree', 'Church', 'Handball', 'smartphones', 'Glass', 'nut', 'Candle', 'Heaven', 'Picture', 'Heating']",84.10705
108,126.0,899,Baum,Stuhl,Tiere,Stab,Brille,Schuhe,Schrank,Boden,Auto,Wasser,"['Tree', 'Chair', 'Animals', 'Rod', 'Glasses', 'Shoes', 'Wardrobe', 'Floor', 'automobile', 'Water']",76.363754
109,127.0,902,Balkon,Fahrrad,Haferflocken,Leuchtturm,Smartphone,Schuhe,Bilderrahmen,Karton,Ball,Ampel,"['balcony', 'Bicycle', 'oatmeal', 'lighthouse', 'smartphones', 'Shoes', 'Picture Frame', 'Cardboard', 'ball', 'Traffic light']",86.46645
110,128.0,903,Meer,Krieg,Made,Planet,Kratzer,Liebe,Milch,Korallenriff,Ruß,Wirtschaft,"['sea', 'War', 'Made', 'planet', 'scratch', 'Love', 'milk', 'Coral reef', 'soot', 'Business']",72.08398
111,129.0,904,Buch ,Apotheke,Pflanze,Sport,Weltall,Wohnung,Internet ,Kaffee,Tod,Musik,"['Book', 'Pharmacy', 'plant', 'Sports', 'space', 'Apartment', 'Internet', 'Coffee', 'Death', 'Music']",78.00799
112,130.0,905,Stift,Flasche,Urlaub,Auto,Kaugummi,Hilflosigkeit,Scheinwerfer,Grill,Prinzessin,Dosenöffner,"['Pen', 'Bottle', 'Vacation', 'automobile', 'chewing gum', 'helplessness', 'Headlights', 'grill', 'princess', 'tin opener']",85.11569
113,131.0,906,Pfannkuchen,Stein,Raumstation,Pflanzen,Höhlenforscher,Musikindustrie,Neuralwissenschaften,Antike Architektur,Kinderspielplatz,Philosophiestudium,"['pancakes', 'Stone', 'Space station', 'Plant', 'explorer', 'Music industry', 'Neural Sciences', 'architecture', 'playground', 'Philosophy']",84.14629
114,132.0,907,Fenster,Auto,Banane,Serie,Schuhe,Zahnpasta,Wohnung,Tier,Fußball,Gehweg,"['Window', 'automobile', 'banana', 'series', 'Shoes', 'toothpaste', 'Apartment', 'animal', 'football', 'Go away']",84.78106
115,133.0,908,Katze,Regenbogen,Winter ,Schuppen,Turnschuhe,Hammer,Gespräch,Altenheim ,Verein,Giraffe ,"['Cat', 'Rainbow', 'winter', 'Dandruff', 'sneakers', 'hammer', 'Conversation', 'Old peoples home', 'Association', 'giraffe']",83.08675
116,135.0,911,Apfel,Hund,Kaffee,Tasse,Fischfang,Hochschule,Laptop,Essen,Spaziergang,Händewaschen,"['Apple', 'Dog', 'Coffee', 'Cup', 'Fishing', 'University', 'Laptop', 'Eat', 'Stroll', 'Wash your hands']",75.21321
117,136.0,912,Arbeitslosigkeit,Hass,Tod,Studium,Mensch,Liebhaber,Raketenwissenschaften,Apfel,Effektivität,Karte,"['unemployment', 'hate', 'Death', 'Studies', 'Person', 'Lover', 'Rocket Science', 'Apple', 'effectiveness', 'Map']",76.539246
118,137.0,913,Baum,Tisch,Zug,Mädchen,Pferd,Polster,Musik,Antennen,Kraftfahrzeug,Wiese,"['Tree', 'Table', 'Train', 'Girl', 'Horse', 'pad', 'Music', 'Antennas', 'Motor vehicle', 'Meadow']",75.480064
119,138.0,915,Stuhl,Fluss,Flugzeug,Tandem ,Motorradhelm ,Nagelschere,Toaster,Rasenmäher,Farbkasten,Psychotherapie,"['Chair', 'Flow', 'Airplane', 'tandem', 'Motorcycle helmet', 'Nail scissors', 'Toaster', 'mowing machine', 'Paint box', 'psychotherapy']",89.96516
120,139.0,917,Handball,Sonnenblume,Lötkolben,Tastatur,Tattoo,Pfefferspray,Flipflop,Sprühsahne,Goldmedaille,Zehnagel,"['Handball', 'Sunflower', 'soldering iron', 'Keyboard', 'Tattoo', 'pepper spray', 'Flip flop', 'cream', 'medal', 'toenail']",86.890465
121,140.0,918,Baum,Taxis,Milch,Musik,Tür,Schraubenschlüssel,Maus,Hindernis,Ergebnis,Kabel,"['Tree', 'Taxi', 'milk', 'Music', 'door', 'Wrench', 'Mouse', 'obstacle', 'Result', 'Cable']",81.86229
122,141.0,919,Floh,Stuhl,Auto,Wand,Urwald,Papier,Himmel,Arbeit,Friseur,Brücke,"['Escaped', 'Chair', 'automobile', 'Wall', 'jungle', 'Paper', 'Heaven', 'Work', 'Barber', 'Bridge']",80.047676
123,142.0,920,Apfelbaum,Haus,Nebenjob,Tochter,Kuchen,Elch,Wasser,Pilz,Virus,Bohrer,"['Apple tree', 'House', 'Part-time job', 'Daughter', 'Cake', 'Moose', 'Water', 'Mushroom', 'virus', 'drill']",77.14391
124,143.0,921,"Aufgabenstellung schwammig, d.h. ""irgendein wort?""",Fernseher,Lampe,Intellekt,Neugier,Verwirrung,Kritik,Hinterfrahung,Sommer,Hunger,"['Task vague', 'i.e. any word?', 'TV', 'lamp', 'intellect', 'curiosity', 'confusion', 'criticism', 'Questioning', 'Summer', 'hunger']",73.48586
125,144.0,922,Laptop,Maus,Haus,Mikroskop,Wolke,Stadt,Plan,Hundehaufen,Teller,Baum,"['Laptop', 'Mouse', 'House', 'microscope', 'Cloud', 'City', 'plan', 'Dog poop', 'Plate', 'Tree']",78.895325
126,145.0,923,Computer,Tasse,Geranie,Wellensittich,Ergometer,Dose,Taschenrechner,Tapete,Termin,Email,"['computer', 'Cup', 'geranium', 'Budgerigar', 'Ergometer', 'Can', 'calculator', 'wallpaper', 'meeting', 'E-mail']",88.718575
127,146.0,924,Zigaretten ,Strandkorb ,Flugzeug ,Hafen ,Sonne ,Meer,Essen ,Handy,Tretboot ,Tasche ,"['Cigarettes', 'Beach chair', 'Airplane', 'Harbor', 'Sun', 'sea', 'Eat', 'mobile', 'Pedal boat', 'Bag']",75.90102
128,147.0,925,Regal,Zeit,Demokratie,Katze,Sex,Messbarkeit,Wolke,Mietvertrag,Kind,Farn,"['shelf', 'Time', 'democracy', 'Cat', 'sex', 'Measurability', 'Cloud', 'rental contract', 'child', 'fern']",78.50827
129,148.0,927,Staubsauger ,Sand,Sport,Rucksack ,Tor ,Fußball ,Sonne,Freunde,Spielplatz ,Schaukel,"['Vacuum cleaner', 'sand', 'Sports', 'Backpack', 'Goal', 'football', 'Sun', 'Friends', 'playground', 'Swing']",75.91453
130,149.0,928,Banane,Gleitzeit,Haus,Wolke,Tafel,Pampasgras,Jacke,Stein,Nagellack,Pferd,"['banana', 'flexible working hours', 'House', 'Cloud', 'blackboard', 'Pampas grass', 'Jacket', 'Stone', 'nail polish', 'Horse']",80.755325
131,150.0,943,Natur,Erfolg,Kaugummi,Sonnenaufgang,Gedanken,Alkohol,Glaube,Spiel,Tätigkeit,Verhalten,"['Nature', 'Success', 'chewing gum', 'sunrise', 'Thoughts', 'alcohol', 'Believe', 'Game', 'Task', 'Behave']",73.63397
132,151.0,945,Rollschuhe,Katze,Festival,Maus,Glas,Straße,Uhr,Blume,Spaß,Psychologie,"['roller skates', 'Cat', 'festival', 'Mouse', 'Glass', 'Street', 'Clock', 'flower', 'Fun', 'psychology']",85.23369
133,152.0,946,Liebe,Konsum,Gewalt,Reise,Wissen,Räumung,Kartoffeln,Wal,Lärm,Ekel,"['Love', 'consumption', 'Violence', 'Trip', 'To know', 'eviction', 'potatoes', 'whale', 'Noise', 'disgust']",84.237946
134,153.0,947,Lehrer,Wiese,Urlaub,Lamm,Hubschrauber,Kante,Hopfen,Gericht,Mayonaise,Anschlag,"['Teacher', 'Meadow', 'Vacation', 'lamb', 'helicopter', 'Edge', 'hop', 'Court', 'Mayonnaise', 'attack']",83.21589
135,154.0,949,Meer,Zaun,Basketball,Fuß,Lampe,Gerechtigkeit,Brot,Frage,Religion,Universum,"['sea', 'Fence', 'basketball', 'Foot', 'lamp', 'justice', 'Bread', 'Ask', 'religion', 'universe']",80.55626
136,155.0,950,Auto,Fahrrad,Gebäude,Ampel,Straße,Restaurant,Park,Baum,Mülleimer,Wasserspeier,"['automobile', 'Bicycle', 'Building', 'Traffic light', 'Street', 'restaurant', 'park', 'Tree', 'Garbage can', 'Gargoyle']",65.265915
137,156.0,953,Reifen,Schüssel,Sitzbank,Papagei,Jazz,Kopf,Pizza,Bürgermeister ,Trompete,Himmel,"['Tires', 'Bowl', 'Bench', 'Parrot', 'jazz', 'Head', 'Pizza', 'mayor', 'Trumpet', 'Heaven']",80.76371
138,157.0,955,Haus,Vogel,Unbehagen,Neutralität,Frieden,Marktforschung,Konsonanz,Hitze,Erde,Leben,"['House', 'Bird', 'Discomfort', 'neutrality', 'Peace', 'Market research', 'consonance', 'heat', 'Earth', 'Life']",83.46738
139,158.0,964,Tasse,Kerze,Pflanze,Stift,Bild,Kalender,Schrank,Dusche,Schuh,Fenster,"['Cup', 'Candle', 'plant', 'Pen', 'Picture', 'calendar', 'Wardrobe', 'Shower', 'shoe', 'Window']",78.074905
140,159.0,970,Schuh,Apfel,Maus,Fabrik,Gold,Koffein,Liebe,Klimawandel,Terror ,Surfen,"['shoe', 'Apple', 'Mouse', 'Factory', 'gold', 'caffeine', 'Love', 'Climate change', 'terror', 'surfing']",79.80359
141,160.0,971,Schuh,Buch,Auto,Einkauf,Brille,Spiegel,Straße,Muster,Leinwand,Löffel,"['shoe', 'Book', 'automobile', 'Shopping', 'Glasses', 'Mirror', 'Street', 'Pattern', 'canvas', 'Spoon']",75.04855
142,161.0,972,Wohlwollen,Betriebswirtschaftslehre,Sofa,Pferd,Feuer,Sporthose,Atmung,Spaß,Nudeln,Schirm,"['Benevolence', 'Business Administration', 'sofa', 'Horse', 'Fire', 'Sports pants', 'breathing', 'Fun', 'Pasta', 'umbrella']",84.32252
143,162.0,973,Ökosystem,Baum ,Hose,Flaschen,Marke,Gender,Ruhe,Savanne,Glasscheibe,Blumenwiese,"['Ecosystem', 'Tree', 'trousers', 'Bottles', 'brand', 'Gender', 'Quiet', 'savannah', 'Glass pane', 'Flower meadow']",85.24746
144,163.0,974,hübsch,Hässlich ,Groß ,Klein,Dick,Dünn ,Krank,Gesund,Schmal,Breit,"['pretty', 'Ugly', 'Large', 'Small', 'Thick', 'Thin', 'Sick', 'Healthy', 'Narrow', 'Broad']",56.251152
145,164.0,976,Wahrheit,Haus,Vertrag,Lügner,Nasenbär,Postkarte,Pusteblume,Urgroßvater,Videospiel,Heiligtum,"['Truth', 'House', 'Contract', 'Liar', 'Coati', 'postcard', 'Dandelion', 'Great-grandfather', 'Video game', 'sanctuary']",87.418434
146,165.0,977,Brathering ,Autorennen,Mistelzweig ,Vollendung,Abendrot,Flexibilität ,Alternativroute,Andersartig,Vertrauenswürdigkeit,Löwe,"['Fried herring', 'Car racing', 'Mistletoe', 'completion', 'Sunset', 'flexibility', 'Alternative route', 'Different', 'trustworthiness', 'Lion']",87.49939
147,166.0,978,Busbahnhof,Flaschenhals ,Musiker,Hubwagen ,Kleiderschrank ,Verbrecher,Deodorant ,Jäger ,Programmierung ,Abschluss,"['bus station', 'Bottleneck', 'musician', 'Forklift truck', 'Wardrobe', 'Criminal', 'deodorant', 'hunter', 'programming', 'Diploma']",89.01822
148,167.0,980,Sonne,Buch,Nagel,Demokratie ,Heimat,Waschbär ,Verhandlung ,Moral,Zug,Wasser,"['Sun', 'Book', 'nail', 'democracy', 'Hometown', 'racoon', 'Negotiation', 'Moral', 'Train', 'Water']",88.770035
149,168.0,981,Affe,Autobahn,Reitstall,Schnuller,Kaugummi,Zahnspange,Papierkorb,Lederhose,Lampe,Lexikon,"['Ape', 'Highway', 'Riding stable', 'dummy', 'chewing gum', 'braces', 'Trash', 'Leather trousers', 'lamp', 'Lexicon']",86.17488
150,169.0,982,Kerze,Straße,Brust,Zahn,Holzplock,Werbung,Wasser,Profi,Nacht,Kartoffel,"['Candle', 'Street', 'Breast', 'Tooth', 'Wooden peg', 'Advertising', 'Water', 'professional', 'Night', 'Potato']",80.52368
151,170.0,985,Baum,Hund,Handy,Blume,Flasche,Lampe,Stuhl,Tisch,Stift,Sonne,"['Tree', 'Dog', 'Mobile', 'flower', 'Bottle', 'lamp', 'Chair', 'Table', 'Pen', 'Sun']",74.24803
152,171.0,986,Regenbogen,Wischmopp,Holzfäller,Leuchtturm,Marienkäfer,Landebahn,Aktenzeichen ,Feuermelder,Textilfabrik ,Aquarellmaler ,"['Rainbow', 'Mop', 'lumberjack', 'lighthouse', 'Ladybug', 'Runway', 'File number', 'alarm', 'factory', 'Watercolor painter']",84.72324
153,172.0,987,Hund,Baum,Auto,Bürgersteig,Schüssel,Kühlschrank,Buch,Messer,Sonne,X-Box,"['Dog', 'Tree', 'car', 'sidewalk', 'Bowl', 'Refrigerator', 'Book', 'Knife', 'Sun', 'Xbox']",76.19549
154,173.0,988,Baum,Eierbecher,Satellit,Mindmap,Erdöl,Grenzübergang,Schriftrolle,Spritze,Gesang,Fallschirm,"['Tree', 'Egg cup', 'satellite', 'Mind map', 'oil', 'Border crossing', 'Scroll', 'Injection', 'singing', 'Parachute']",93.1762
155,174.0,989,Auto,Vanilleeis,Waldsee,Hammer,Narzisse,Findling,Bahnübergang,Kartoffelsalat,Jeans,Laptop,"['car', 'ice', 'Lake', 'hammer', 'daffodil', 'Boulder', 'Railway', 'potato salad', 'jeans', 'laptop']",79.85514
156,175.0,990,Telefon,Elefant,Schnitzel,Blumen,Fahrrad,Reise,Kino,Terasse,Sonne,Marmor,"['phone', 'elephant', 'Schnitzel', 'Flowers', 'Bicycle', 'Trip', 'cinema', 'Terrace', 'Sun', 'Marble']",84.28804
157,176.0,991,Baum,Spritze,Regal,Brot,Sprichwort,Balken,Ring,Wattestäbchen,Schublade,Kondom,"['Tree', 'Injection', 'shelf', 'Bread', 'Proverb', 'beam', 'ring', 'Cotton swabs', 'Drawer', 'condom']",82.809135
158,177.0,992,Geige,Reise,Geschichte,Abend,Schwester,Verbreitung,Hindernis,Licht,Tinte,Vulkan,"['violin', 'Trip', 'Story', 'Evening', 'Sister', 'spread', 'obstacle', 'Light', 'ink', 'volcano']",78.357994
159,178.0,993,Haus,Pferd,Liebe,Jungfrau,Loch,Modell,Hafen,Teller,Sprung,Werkzeug,"['House', 'Horse', 'Love', 'Virgo', 'Hole', 'Model', 'Harbor', 'plate', 'Jump', 'Tool']",76.45059
160,179.0,994,Löffel,Bühne,Fingernagel,Flugzeug,Schnorchel,Baum,Katze,Forelle,Stein,Schnee,"['Spoon', 'stage', 'fingernail', 'Airplane', 'snorkel', 'Tree', 'Cat', 'trout', 'Stone', 'Snow']",81.72797
161,180.0,995,Netz,Liebe,Auto,Meer,Sterne,Krokodil,Spülmaschine,Kerwabaum,Bier,Fuß,"['network', 'Love', 'car', 'sea', 'Stars', 'crocodile', 'dishwasher', 'Kerwa tree', 'Beer', 'Foot']",84.092674
162,182.0,997,Löffel ,Schneeglöckchen,Murmeltier,Feuerzeug ,Lexikon,Kopfkissen ,Haarbürste ,Stecdose,Puppe ,Gießkanne ,"['Spoon', 'snowdrop', 'marmot', 'Lighter', 'Lexicon', 'Pillow', 'hairbrush', 'Socket', 'Doll', 'watering can']",86.41373
163,183.0,999,Thailand ,Berlin,Micky Mouse ,Gewichtheber,T-Shirt ,Haare,Brille,Gitarre ,Schule ,Sonne ,"['Thailand', 'Berlin', 'Mickeye', 'Weightlifter', 'Shirt', 'Hair', 'Glasses', 'guitar', 'School', 'Sun']",79.733154
164,184.0,1000,Papier,Tastatur,Klemmbausteine,Uhrenarmband,Kabel,Handy,Rasen,Himmel,Nacht,Sport,"['Paper', 'Keyboard', 'Interlocking blocks', 'Watch strap', 'Cable', 'Mobile', 'Race', 'Heaven', 'Night', 'sport']",91.238556
165,185.0,1001,Auto,Hund,Käse,Glück,Sauerstoff,Glas,Organisation,Talent,Geld,Kissen,"['car', 'Dog', 'Cheese', 'Luck', 'oxygen', 'Glass', 'organization', 'talent', 'Money', 'Pillow']",80.90239
166,186.0,1003,Flasche,Stuhl,Regenschirm,Schere,Buch,Fernseher,Pflanze,Feuerzeug,Kondom,Handtuch,"['Bottle', 'Chair', 'umbrella', 'Scissors', 'Book', 'TV', 'plant', 'Lighter', 'condom', 'Hand towel']",77.94782
167,187.0,1005,Apfel,Computer,Kohlenstoff,Unterricht,Locher,Wolke,Fingernagel,Nomen,App,Zahl,"['Apple', 'computer', 'carbon', 'Instruction', 'punch', 'Cloud', 'fingernail', 'noun', 'App', 'Number']",81.58021
168,188.0,1006,Hund,Kamera,Belistift,Stickkleid,Türgriff,Spaghetti,Rose,Wolke,Auto,Kruste,"['Dog', 'camera', 'Beli pencil', 'Embroidered dress', 'Door handle', 'spaghetti', 'rose', 'Cloud', 'car', 'crust']",81.51363
169,189.0,1007,Telefon,Mutter,Griff,Shirt,Haus,Waschmaschine,Tasse,Mond,Meer,Atom,"['phone', 'Mother', 'Handle', 'T-Shirt', 'House', 'washing machine', 'cup', 'moon', 'sea', 'atom']",75.112595
170,190.0,1008,Handy,Baum,Schmuck,Hörsaal,Krankenhaus,Bank,Katze,Gummistiefel,Brötchen,Fahrrad,"['Mobile', 'Tree', 'Jewelry', 'Lecture Hall', 'hospital', 'bank', 'Cat', 'Rubber boots', 'Bread rolls', 'Bicycle']",76.24135
171,191.0,1009,Hund,Planet,Supermarkt,Haare,Konzert,Schimmel,Teppich,Zehnagel,Armband,Ampel,"['Dog', 'planet', 'supermarket', 'Hair', 'concert', 'Mold', 'Carpet', 'toenail', 'bracelet', 'Traffic light']",79.90178
172,192.0,1010,Farben,Essen,Gefühle,Wasser,Autos,Menschen,Tiere,Pflanzen,Lehrer,Chemie,"['Colors', 'Eat', 'Feelings', 'Water', 'Cars', 'People', 'Animals', 'Plant', 'Teacher', 'Chemistry']",69.04072
173,193.0,1013,Plastiktüte,Verwandtschaft,Foltergerät,Kommunismus,Musik,World Wide Web,Biologie-Projekt,Kuss,Sandstrand,Kätzchen,"['bag', 'relationship', 'Torture device', 'communism', 'Music', 'internet', 'Biology Project', 'kiss', 'beach', 'kitten']",80.9124
174,194.0,1014,Stadt,Auto,Hof,Ressource,Umwelt,Verkehsmittel,Innovation,Gemeinschaft,Ruhe,Energie,"['City', 'car', 'Courtyard', 'resource', 'Environment', 'Means of transport', 'innovation', 'Community', 'Quiet', 'energy']",69.97581
175,195.0,1015,Sitzbank,Steuern,Leinwand,Heizung,Nähen,Hund,Dach,Wald,Büroklammer,Kuscheltier,"['Bench', 'Steer', 'canvas', 'Heating', 'Sew', 'Dog', 'Roof', 'Forest', 'paper clip', 'Cuddly toy']",78.54621
176,196.0,1016,Groß ,Klein,Dick,Dünn ,Schmal,Breit,Bunt,Dunkel,Rund,Eckig ,"['Large', 'Small', 'Thick', 'Thin', 'Narrow', 'Broad', 'Colorful', 'Dark', 'Around', 'Square']",53.6789
177,197.0,1017,Hund,Bett,Zahnbürste,Auto,Sand,Uhr,Regal,Buch,Pflanze,Atom,"['Dog', 'Bed', 'toothbrush', 'car', 'sand', 'Clock', 'shelf', 'Book', 'plant', 'atom']",73.99915
178,198.0,1019,Brot,Stein,Meditation,Kernreaktor,Schachfigur,Hilfe,Extremsport,Satanismus,Abendkleid,Hörgerät,"['Bread', 'Stone', 'meditation', 'reactor', 'chessman', 'Help', 'Extreme sports', 'Satanism', 'dress', 'Hearings']",92.28713
179,199.0,1020,Wäschständer,Buch,Laptop,Wind,Blatt,Block,Kleiderbügel,Flugzeug,Auto,Kabel,"['Clothes horse', 'Book', 'laptop', 'wind', 'Sheet', 'block', 'Clothes hangers', 'Airplane', 'car', 'Cable']",88.70168
180,200.0,1022,Hund,Haus,Blume,Auto,Uni,Teppich,Wolken,Disco,Freunde,Aup,"['Dog', 'House', 'flower', 'car', 'University', 'Carpet', 'Clouds', 'Disco', 'Friends', 'Aup']",74.42145
181,201.0,1023,Frühstück,Arbeit,Lernen,Freunde,Familie,Urlaub,Spaß,Pflanze,Baby,Kerze,"['Breakfast', 'Work', 'Learn', 'Friends', 'Family', 'Vacation', 'Fun', 'plant', 'baby', 'Candle']",60.499794
182,202.0,1024,Wasser,Blattläuse,Hähnchenspießchen,Halogen,Reisetagebuch,Liebe,Haltung,Kapitän,Blaumeise,Hautkrebs,"['Water', 'Aphids', 'Chicken skewers', 'halogen', 'diary', 'Love', 'attitude', 'captain', 'tit', 'cancer']",89.12227
183,203.0,1025,Käse,Mond,Werbung,Tisch,Fasan,Leitplanke,Sicherheitsausgang,Elektrizität,Supermarkt ,Kleidung,"['Cheese', 'moon', 'Advertising', 'Table', 'pheasant', 'Guardrail', 'Safety exit', 'electricity', 'supermarket', 'Clothing']",88.00919
184,204.0,1026,Schwimmbad,Fußball,Kuchen,Schraube,Baum,Kerze,Pfanne,Zelt,Tafel,Rreifen,"['Swimming pool', 'football', 'Cake', 'screw', 'Tree', 'Candle', 'Pan', 'Tent', 'Board', 'Tires']",74.521965
185,205.0,1027,Liebe,Gerechtigkeit,Olympia,Kunst,Verlagswesen,Hunger,Depression,Umweltaktivismus,Persönlichkeit,Bilderrahmen,"['Love', 'justice', 'Olympics', 'Art', 'Publishing', 'hunger', 'depression', 'Environmental activism', 'personality', 'Picture frames']",73.35231
186,0.0,480,Baum,Auto,Notizblock,Weltraumkolonisation,Migrationspolitik,Ernährungswissenschaft,Kindergeburtstag,Körperverletzung,Vorfahren,Musikfestival,"['Tree', 'automobile', 'notepad', 'colonization', 'geopolitics', 'nutritional science', 'Children birthday', 'Assault', 'ancestors', 'Festival']",88.03426
187,,574,Drawing ,Reading ,View ,Organize ,Style ,Vacation ,Travel,Eat,Outfit ,Drink,"['Drawing ', 'Reading ', 'View ', 'Organize ', 'Style ', 'Vacation ', 'Travel', 'Eat', 'Outfit ', 'Drink']",73.008934
188,,658,Duvet,Nail,Carpet,Grater,Tree,Fish,Book,Glue,Earring,Speaker,"['Duvet', 'Nail', 'Carpet', 'Grater', 'Tree', 'Fish', 'Book', 'Glue', 'Earring', 'Speaker']",83.14934
189,,689,computer,rabbit,fan,tissue,cloud,romantic,punch,fun,number,click,"['computer', 'rabbit', 'fan', 'tissue', 'cloud', 'romantic', 'punch', 'fun', 'number', 'click']",80.9245
190,,694,chair,potato,umbrella,snowball,tree,laptop,rainbow,toilet ,window,wallpaper,"['chair', 'potato', 'umbrella', 'snowball', 'tree', 'laptop', 'rainbow', 'toilet ', 'window', 'wallpaper']",76.02298
191,,706,Philosophy ,Wood,Beer,Culture,Beach,Tree,Flower,Slippers,Mountain ,Coffee,"['Philosophy ', 'Wood', 'Beer', 'Culture', 'Beach', 'Tree', 'Flower', 'Slippers', 'Mountain ', 'Coffee']",73.93083
192,,737,love,feather,sunset,tea,button,pasta,soulmate,bicycle,home,fire,"['love', 'feather', 'sunset', 'tea', 'button', 'pasta', 'soulmate', 'bicycle', 'home', 'fire']",80.61787
193,,766,Dragon ,People ,bicycle ,Clock,sword ,Police ,cigarette ,Movie ,universe ,power,"['Dragon ', 'People ', 'bicycle ', 'Clock', 'sword ', 'Police ', 'cigarette ', 'Movie ', 'universe ', 'power']",77.16774
194,,777,dog,woman,computer,time,novel,cloth,football,window,art,stone,"['dog', 'woman', 'computer', 'time', 'novel', 'cloth', 'football', 'window', 'art', 'stone']",77.24332
195,,779,Egg,Hand,House,Happiness,Rain,Tree,Alcohol,Car,Picture,Tribe,"['Egg', 'Hand', 'House', 'Happiness', 'Rain', 'Tree', 'Alcohol', 'Car', 'Picture', 'Tribe']",72.29316
196,,812,yes,no,you,We,scoff,caress,above,under,polls,interrogations,"['yes', 'no', 'you', 'We', 'scoff', 'caress', 'above', 'under', 'polls', 'interrogations']",67.0349
197,,814,Car,Ship,Frog,Glass,Mirror,Chip,Brain,Lighter,Fire,Hair,"['Car', 'Ship', 'Frog', 'Glass', 'Mirror', 'Chip', 'Brain', 'Lighter', 'Fire', 'Hair']",75.819786
198,,815,ocean,cat,rainbow,clock,desert,festival,volcano,puzzle,balloon,winter,"['ocean', 'cat', 'rainbow', 'clock', 'desert', 'festival', 'volcano', 'puzzle', 'balloon', 'winter']",76.33408
199,,817,Ball,Car,Wall,Tire,Chair,Leg,Hair,TV,Stairs,Lawn Mower,"['Ball', 'Car', 'Wall', 'Tire', 'Chair', 'Leg', 'Hair', 'TV', 'Stairs', 'Lawn Mower']",69.28841
200,,824,Tea,Mop,Notebook,Wall,Leaf,Cross,Fabric,Gem,Fan,Urn,"['Tea', 'Mop', 'Notebook', 'Wall', 'Leaf', 'Cross', 'Fabric', 'Gem', 'Fan', 'Urn']",74.73441
201,,829,Cement,Hospital,Sky,Animal,Air conditioning,Gift,Bookstore,Flower,Spice,Vault,"['Cement', 'Hospital', 'Sky', 'Animal', 'Air conditioning', 'Gift', 'Bookstore', 'Flower', 'Spice', 'Vault']",83.02374
202,,855,Watch,Helmet,Water,Food,Car,Book,Kite,Powerbank ,Spoon,Ball,"['Watch', 'Helmet', 'Water', 'Food', 'Car', 'Book', 'Kite', 'Powerbank ', 'Spoon', 'Ball']",77.068344
203,,897,Color,Building,Water,Molecule,Processor,Heart,Heaven,Shoe,Plate,Planet,"['Color', 'Building', 'Water', 'Molecule', 'Processor', 'Heart', 'Heaven', 'Shoe', 'Plate', 'Planet']",79.86745
204,,910,Psychology,Blade,Book,Sock,Game,Animation,Speech,Oil,Nail,Snake,"['Psychology', 'Blade', 'Book', 'Sock', 'Game', 'Animation', 'Speech', 'Oil', 'Nail', 'Snake']",82.602844
205,,996,Asteroid,Pillow,Nail,Grass,University,Consumption,Impression,Electricity,Creme,Surgeon,"['Asteroid', 'Pillow', 'Nail', 'Grass', 'University', 'Consumption', 'Impression', 'Electricity', 'Creme', 'Surgeon']",85.929596
